<com.coveros.training.expenses.AlcoholCalculator: com.coveros.training.expenses.AlcoholResult calculate(com.coveros.training.expenses.DinnerPrices)>	calculate	com.coveros.training.expenses.DinnerPrices	com.coveros.training.expenses.AlcoholCalculator	com.coveros.training.expenses.AlcoholResult	(Lcom/coveros/training/expenses/DinnerPrices;)Lcom/coveros/training/expenses/AlcoholResult;	1
<com.coveros.training.helpers.StringUtils: java.lang.String makeNotNullable(java.lang.String)>	makeNotNullable	java.lang.String	com.coveros.training.helpers.StringUtils	java.lang.String	(Ljava/lang/String;)Ljava/lang/String;	1
<com.coveros.training.helpers.StringUtils: java.lang.String escapeForJson(java.lang.String)>	escapeForJson	java.lang.String	com.coveros.training.helpers.StringUtils	java.lang.String	(Ljava/lang/String;)Ljava/lang/String;	1
<com.coveros.training.authentication.domainobjects.RegistrationResult: void <init>(boolean,com.coveros.training.authentication.domainobjects.RegistrationStatusEnums,java.lang.String)>	<init>	boolean,com.coveros.training.authentication.domainobjects.RegistrationStatusEnums,java.lang.String	com.coveros.training.authentication.domainobjects.RegistrationResult	void	(ZLcom/coveros/training/authentication/domainobjects/RegistrationStatusEnums;Ljava/lang/String;)V	3
<com.coveros.training.authentication.domainobjects.RegistrationResult: void <init>(boolean,com.coveros.training.authentication.domainobjects.RegistrationStatusEnums)>	<init>	boolean,com.coveros.training.authentication.domainobjects.RegistrationStatusEnums	com.coveros.training.authentication.domainobjects.RegistrationResult	void	(ZLcom/coveros/training/authentication/domainobjects/RegistrationStatusEnums;)V	2
<com.coveros.training.authentication.domainobjects.RegistrationResult: boolean equals(java.lang.Object)>	equals	java.lang.Object	com.coveros.training.authentication.domainobjects.RegistrationResult	boolean	(Ljava/lang/Object;)Z	1
<com.coveros.training.persistence.ParameterObject: void <init>(java.lang.Object,java.lang.Class)>	<init>	java.lang.Object,java.lang.Class	com.coveros.training.persistence.ParameterObject	void	(Ljava/lang/Object;Ljava/lang/Class;)V	2
<com.coveros.training.persistence.ParameterObject: boolean equals(java.lang.Object)>	equals	java.lang.Object	com.coveros.training.persistence.ParameterObject	boolean	(Ljava/lang/Object;)Z	1
<com.coveros.training.expenses.AlcoholCalculator: void <init>()>	<init>		com.coveros.training.expenses.AlcoholCalculator	void	()V	0
<com.coveros.training.mathematics.AckermannIterative$$$FunctionalAckermann: java.math.BigInteger number1()>	number1		com.coveros.training.mathematics.AckermannIterative$$$FunctionalAckermann	java.math.BigInteger	()Ljava/math/BigInteger;	0
<com.coveros.training.mathematics.AckermannIterative$$$FunctionalAckermann: java.math.BigInteger number2()>	number2		com.coveros.training.mathematics.AckermannIterative$$$FunctionalAckermann	java.math.BigInteger	()Ljava/math/BigInteger;	0
<com.coveros.training.mathematics.AckermannIterative$$$FunctionalAckermann: java.util.Deque stack()>	stack		com.coveros.training.mathematics.AckermannIterative$$$FunctionalAckermann	java.util.Deque	()Ljava/util/Deque;	0
<com.coveros.training.mathematics.AckermannIterative$$$FunctionalAckermann: boolean flag()>	flag		com.coveros.training.mathematics.AckermannIterative$$$FunctionalAckermann	boolean	()Z	0
<com.coveros.training.library.domainobjects.Loan: int hashCode()>	hashCode		com.coveros.training.library.domainobjects.Loan	int	()I	0
<com.coveros.training.library.domainobjects.Loan: java.lang.String toString()>	toString		com.coveros.training.library.domainobjects.Loan	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.library.domainobjects.Loan: com.coveros.training.library.domainobjects.Loan createEmpty()>	createEmpty		com.coveros.training.library.domainobjects.Loan	com.coveros.training.library.domainobjects.Loan	()Lcom/coveros/training/library/domainobjects/Loan;	0
<com.coveros.training.library.domainobjects.Loan: boolean isEmpty()>	isEmpty		com.coveros.training.library.domainobjects.Loan	boolean	()Z	0
<com.coveros.training.authentication.domainobjects.PasswordResult: int hashCode()>	hashCode		com.coveros.training.authentication.domainobjects.PasswordResult	int	()I	0
<com.coveros.training.authentication.domainobjects.PasswordResult: java.lang.String toString()>	toString		com.coveros.training.authentication.domainobjects.PasswordResult	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.authentication.domainobjects.PasswordResult: java.lang.String toPrettyString()>	toPrettyString		com.coveros.training.authentication.domainobjects.PasswordResult	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.authentication.domainobjects.PasswordResult: com.coveros.training.authentication.domainobjects.PasswordResult createEmpty()>	createEmpty		com.coveros.training.authentication.domainobjects.PasswordResult	com.coveros.training.authentication.domainobjects.PasswordResult	()Lcom/coveros/training/authentication/domainobjects/PasswordResult;	0
<com.coveros.training.authentication.domainobjects.PasswordResult: boolean isEmpty()>	isEmpty		com.coveros.training.authentication.domainobjects.PasswordResult	boolean	()Z	0
<com.coveros.training.library.LibraryLendServlet: void <init>()>	<init>		com.coveros.training.library.LibraryLendServlet	void	()V	0
<com.coveros.training.library.LibraryLendServlet: java.sql.Date getDateNow()>	getDateNow		com.coveros.training.library.LibraryLendServlet	java.sql.Date	()Ljava/sql/Date;	0
<com.coveros.training.library.LibraryLendServlet: void <clinit>()>	<clinit>		com.coveros.training.library.LibraryLendServlet	void	()V	0
<com.coveros.training.mathematics.TailRecursive$$: com.coveros.training.mathematics.TailRecursive$$[] values()>	values		com.coveros.training.mathematics.TailRecursive$$	com.coveros.training.mathematics.TailRecursive$$[]	()[Lcom/coveros/training/mathematics/TailRecursive$$;	0
<com.coveros.training.mathematics.TailRecursive$$: void <clinit>()>	<clinit>		com.coveros.training.mathematics.TailRecursive$$	void	()V	0
<com.coveros.training.tomcat.WebAppListener: void <init>()>	<init>		com.coveros.training.tomcat.WebAppListener	void	()V	0
<com.coveros.training.library.LibraryRegisterBookServlet: void <init>()>	<init>		com.coveros.training.library.LibraryRegisterBookServlet	void	()V	0
<com.coveros.training.library.LibraryRegisterBookServlet: void <clinit>()>	<clinit>		com.coveros.training.library.LibraryRegisterBookServlet	void	()V	0
<com.coveros.training.mathematics.Calculator: void <init>()>	<init>		com.coveros.training.mathematics.Calculator	void	()V	0
<com.coveros.training.persistence.PersistenceLayer: void <init>()>	<init>		com.coveros.training.persistence.PersistenceLayer	void	()V	0
<com.coveros.training.persistence.PersistenceLayer: org.h2.jdbcx.JdbcConnectionPool obtainConnectionPool()>	obtainConnectionPool		com.coveros.training.persistence.PersistenceLayer	org.h2.jdbcx.JdbcConnectionPool	()Lorg/h2/jdbcx/JdbcConnectionPool;	0
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional listAllBooks()>	listAllBooks		com.coveros.training.persistence.PersistenceLayer	java.util.Optional	()Ljava/util/Optional;	0
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional listAvailableBooks()>	listAvailableBooks		com.coveros.training.persistence.PersistenceLayer	java.util.Optional	()Ljava/util/Optional;	0
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional listAllBorrowers()>	listAllBorrowers		com.coveros.training.persistence.PersistenceLayer	java.util.Optional	()Ljava/util/Optional;	0
<com.coveros.training.persistence.PersistenceLayer: com.coveros.training.persistence.IPersistenceLayer createEmpty()>	createEmpty		com.coveros.training.persistence.PersistenceLayer	com.coveros.training.persistence.IPersistenceLayer	()Lcom/coveros/training/persistence/IPersistenceLayer;	0
<com.coveros.training.persistence.PersistenceLayer: boolean isEmpty()>	isEmpty		com.coveros.training.persistence.PersistenceLayer	boolean	()Z	0
<com.coveros.training.persistence.PersistenceLayer: void cleanAndMigrateDatabase()>	cleanAndMigrateDatabase		com.coveros.training.persistence.PersistenceLayer	void	()V	0
<com.coveros.training.persistence.PersistenceLayer: void cleanDatabase()>	cleanDatabase		com.coveros.training.persistence.PersistenceLayer	void	()V	0
<com.coveros.training.persistence.PersistenceLayer: void migrateDatabase()>	migrateDatabase		com.coveros.training.persistence.PersistenceLayer	void	()V	0
<com.coveros.training.persistence.PersistenceLayer: org.flywaydb.core.Flyway configureFlyway()>	configureFlyway		com.coveros.training.persistence.PersistenceLayer	org.flywaydb.core.Flyway	()Lorg/flywaydb/core/Flyway;	0
<com.coveros.training.persistence.PersistenceLayer: void <clinit>()>	<clinit>		com.coveros.training.persistence.PersistenceLayer	void	()V	0
<com.coveros.training.mathematics.FibonacciIterative: void <init>()>	<init>		com.coveros.training.mathematics.FibonacciIterative	void	()V	0
<com.coveros.training.authentication.domainobjects.RegistrationStatusEnums: com.coveros.training.authentication.domainobjects.RegistrationStatusEnums[] values()>	values		com.coveros.training.authentication.domainobjects.RegistrationStatusEnums	com.coveros.training.authentication.domainobjects.RegistrationStatusEnums[]	()[Lcom/coveros/training/authentication/domainobjects/RegistrationStatusEnums;	0
<com.coveros.training.authentication.domainobjects.RegistrationStatusEnums: void <clinit>()>	<clinit>		com.coveros.training.authentication.domainobjects.RegistrationStatusEnums	void	()V	0
<com.coveros.training.authentication.domainobjects.PasswordResultEnums: com.coveros.training.authentication.domainobjects.PasswordResultEnums[] values()>	values		com.coveros.training.authentication.domainobjects.PasswordResultEnums	com.coveros.training.authentication.domainobjects.PasswordResultEnums[]	()[Lcom/coveros/training/authentication/domainobjects/PasswordResultEnums;	0
<com.coveros.training.authentication.domainobjects.PasswordResultEnums: void <clinit>()>	<clinit>		com.coveros.training.authentication.domainobjects.PasswordResultEnums	void	()V	0
<com.coveros.training.mathematics.MathServlet: void <init>()>	<init>		com.coveros.training.mathematics.MathServlet	void	()V	0
<com.coveros.training.mathematics.MathServlet: void <clinit>()>	<clinit>		com.coveros.training.mathematics.MathServlet	void	()V	0
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional listAllBooks()>	listAllBooks		com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	()Ljava/util/Optional;	0
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional listAvailableBooks()>	listAvailableBooks		com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	()Ljava/util/Optional;	0
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional listAllBorrowers()>	listAllBorrowers		com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	()Ljava/util/Optional;	0
<com.coveros.training.persistence.IPersistenceLayer: void cleanAndMigrateDatabase()>	cleanAndMigrateDatabase		com.coveros.training.persistence.IPersistenceLayer	void	()V	0
<com.coveros.training.persistence.IPersistenceLayer: void cleanDatabase()>	cleanDatabase		com.coveros.training.persistence.IPersistenceLayer	void	()V	0
<com.coveros.training.persistence.IPersistenceLayer: void migrateDatabase()>	migrateDatabase		com.coveros.training.persistence.IPersistenceLayer	void	()V	0
<com.coveros.training.persistence.IPersistenceLayer: boolean isEmpty()>	isEmpty		com.coveros.training.persistence.IPersistenceLayer	boolean	()Z	0
<com.coveros.training.helpers.ServletUtils: void <init>()>	<init>		com.coveros.training.helpers.ServletUtils	void	()V	0
<com.coveros.training.persistence.EmptyDataSource: void <init>()>	<init>		com.coveros.training.persistence.EmptyDataSource	void	()V	0
<com.coveros.training.persistence.EmptyDataSource: java.sql.Connection getConnection()>	getConnection		com.coveros.training.persistence.EmptyDataSource	java.sql.Connection	()Ljava/sql/Connection;	0
<com.coveros.training.persistence.EmptyDataSource: java.io.PrintWriter getLogWriter()>	getLogWriter		com.coveros.training.persistence.EmptyDataSource	java.io.PrintWriter	()Ljava/io/PrintWriter;	0
<com.coveros.training.persistence.EmptyDataSource: int getLoginTimeout()>	getLoginTimeout		com.coveros.training.persistence.EmptyDataSource	int	()I	0
<com.coveros.training.persistence.EmptyDataSource: java.util.logging.Logger getParentLogger()>	getParentLogger		com.coveros.training.persistence.EmptyDataSource	java.util.logging.Logger	()Ljava/util/logging/Logger;	0
<com.coveros.training.helpers.CheckUtils: void <init>()>	<init>		com.coveros.training.helpers.CheckUtils	void	()V	0
<com.coveros.training.library.LibraryBorrowerListSearchServlet: void <init>()>	<init>		com.coveros.training.library.LibraryBorrowerListSearchServlet	void	()V	0
<com.coveros.training.library.LibraryBorrowerListSearchServlet: java.lang.String listAllBorrowers()>	listAllBorrowers		com.coveros.training.library.LibraryBorrowerListSearchServlet	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.library.LibraryBorrowerListSearchServlet: void <clinit>()>	<clinit>		com.coveros.training.library.LibraryBorrowerListSearchServlet	void	()V	0
<com.coveros.training.mathematics.AckermannIterative$$: com.coveros.training.mathematics.AckermannIterative$$[] values()>	values		com.coveros.training.mathematics.AckermannIterative$$	com.coveros.training.mathematics.AckermannIterative$$[]	()[Lcom/coveros/training/mathematics/AckermannIterative$$;	0
<com.coveros.training.mathematics.AckermannIterative$$: void <clinit>()>	<clinit>		com.coveros.training.mathematics.AckermannIterative$$	void	()V	0
<com.coveros.training.mathematics.AckServlet: void <init>()>	<init>		com.coveros.training.mathematics.AckServlet	void	()V	0
<com.coveros.training.mathematics.AckServlet: void <clinit>()>	<clinit>		com.coveros.training.mathematics.AckServlet	void	()V	0
<com.coveros.training.library.LibraryRegisterBorrowerServlet: void <init>()>	<init>		com.coveros.training.library.LibraryRegisterBorrowerServlet	void	()V	0
<com.coveros.training.library.LibraryRegisterBorrowerServlet: void <clinit>()>	<clinit>		com.coveros.training.library.LibraryRegisterBorrowerServlet	void	()V	0
<com.coveros.training.mathematics.Ackermann: void <init>()>	<init>		com.coveros.training.mathematics.Ackermann	void	()V	0
<com.coveros.training.library.LibraryBookListAvailableServlet: void <init>()>	<init>		com.coveros.training.library.LibraryBookListAvailableServlet	void	()V	0
<com.coveros.training.library.LibraryBookListAvailableServlet: void <clinit>()>	<clinit>		com.coveros.training.library.LibraryBookListAvailableServlet	void	()V	0
<com.coveros.training.mathematics.FibServlet: void <init>()>	<init>		com.coveros.training.mathematics.FibServlet	void	()V	0
<com.coveros.training.mathematics.FibServlet: void <clinit>()>	<clinit>		com.coveros.training.mathematics.FibServlet	void	()V	0
<com.coveros.training.authentication.RegistrationUtils: void <init>()>	<init>		com.coveros.training.authentication.RegistrationUtils	void	()V	0
<com.coveros.training.authentication.RegistrationUtils: com.coveros.training.authentication.RegistrationUtils createEmpty()>	createEmpty		com.coveros.training.authentication.RegistrationUtils	com.coveros.training.authentication.RegistrationUtils	()Lcom/coveros/training/authentication/RegistrationUtils;	0
<com.coveros.training.authentication.RegistrationUtils: boolean isEmpty()>	isEmpty		com.coveros.training.authentication.RegistrationUtils	boolean	()Z	0
<com.coveros.training.authentication.RegistrationUtils: void <clinit>()>	<clinit>		com.coveros.training.authentication.RegistrationUtils	void	()V	0
<com.coveros.training.authentication.domainobjects.User: int hashCode()>	hashCode		com.coveros.training.authentication.domainobjects.User	int	()I	0
<com.coveros.training.authentication.domainobjects.User: java.lang.String toString()>	toString		com.coveros.training.authentication.domainobjects.User	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.authentication.domainobjects.User: com.coveros.training.authentication.domainobjects.User createEmpty()>	createEmpty		com.coveros.training.authentication.domainobjects.User	com.coveros.training.authentication.domainobjects.User	()Lcom/coveros/training/authentication/domainobjects/User;	0
<com.coveros.training.authentication.domainobjects.User: boolean isEmpty()>	isEmpty		com.coveros.training.authentication.domainobjects.User	boolean	()Z	0
<com.coveros.training.persistence.SqlData: int hashCode()>	hashCode		com.coveros.training.persistence.SqlData	int	()I	0
<com.coveros.training.persistence.SqlData: java.lang.String toString()>	toString		com.coveros.training.persistence.SqlData	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.persistence.SqlData: com.coveros.training.persistence.SqlData createEmpty()>	createEmpty		com.coveros.training.persistence.SqlData	com.coveros.training.persistence.SqlData	()Lcom/coveros/training/persistence/SqlData;	0
<com.coveros.training.persistence.SqlData: boolean isEmpty()>	isEmpty		com.coveros.training.persistence.SqlData	boolean	()Z	0
<com.coveros.training.mathematics.Calculator$Bar: void <init>()>	<init>		com.coveros.training.mathematics.Calculator$Bar	void	()V	0
<com.coveros.training.persistence.NotImplementedException: void <init>()>	<init>		com.coveros.training.persistence.NotImplementedException	void	()V	0
<com.coveros.training.mathematics.AckermannIterative$$$Field: com.coveros.training.mathematics.AckermannIterative$$$Field[] values()>	values		com.coveros.training.mathematics.AckermannIterative$$$Field	com.coveros.training.mathematics.AckermannIterative$$$Field[]	()[Lcom/coveros/training/mathematics/AckermannIterative$$$Field;	0
<com.coveros.training.mathematics.AckermannIterative$$$Field: void <clinit>()>	<clinit>		com.coveros.training.mathematics.AckermannIterative$$$Field	void	()V	0
<com.coveros.training.authentication.LoginUtils: void <init>()>	<init>		com.coveros.training.authentication.LoginUtils	void	()V	0
<com.coveros.training.authentication.LoginUtils: com.coveros.training.authentication.LoginUtils createEmpty()>	createEmpty		com.coveros.training.authentication.LoginUtils	com.coveros.training.authentication.LoginUtils	()Lcom/coveros/training/authentication/LoginUtils;	0
<com.coveros.training.authentication.LoginUtils: boolean isEmpty()>	isEmpty		com.coveros.training.authentication.LoginUtils	boolean	()Z	0
<com.coveros.training.authentication.LoginUtils: void <clinit>()>	<clinit>		com.coveros.training.authentication.LoginUtils	void	()V	0
<com.coveros.training.authentication.LoginServlet: void <init>()>	<init>		com.coveros.training.authentication.LoginServlet	void	()V	0
<com.coveros.training.authentication.LoginServlet: void <clinit>()>	<clinit>		com.coveros.training.authentication.LoginServlet	void	()V	0
<com.coveros.training.authentication.RegisterServlet: void <init>()>	<init>		com.coveros.training.authentication.RegisterServlet	void	()V	0
<com.coveros.training.authentication.RegisterServlet: void <clinit>()>	<clinit>		com.coveros.training.authentication.RegisterServlet	void	()V	0
<com.coveros.training.library.domainobjects.Book: int hashCode()>	hashCode		com.coveros.training.library.domainobjects.Book	int	()I	0
<com.coveros.training.library.domainobjects.Book: java.lang.String toOutputString()>	toOutputString		com.coveros.training.library.domainobjects.Book	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.library.domainobjects.Book: java.lang.String toString()>	toString		com.coveros.training.library.domainobjects.Book	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.library.domainobjects.Book: com.coveros.training.library.domainobjects.Book createEmpty()>	createEmpty		com.coveros.training.library.domainobjects.Book	com.coveros.training.library.domainobjects.Book	()Lcom/coveros/training/library/domainobjects/Book;	0
<com.coveros.training.library.domainobjects.Book: boolean isEmpty()>	isEmpty		com.coveros.training.library.domainobjects.Book	boolean	()Z	0
<com.coveros.training.cartesianproduct.CartesianProduct: void <init>()>	<init>		com.coveros.training.cartesianproduct.CartesianProduct	void	()V	0
<com.coveros.training.library.LibraryUtils: void <init>()>	<init>		com.coveros.training.library.LibraryUtils	void	()V	0
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.LibraryUtils createEmpty()>	createEmpty		com.coveros.training.library.LibraryUtils	com.coveros.training.library.LibraryUtils	()Lcom/coveros/training/library/LibraryUtils;	0
<com.coveros.training.library.LibraryUtils: boolean isEmpty()>	isEmpty		com.coveros.training.library.LibraryUtils	boolean	()Z	0
<com.coveros.training.library.LibraryUtils: java.util.List listAllBooks()>	listAllBooks		com.coveros.training.library.LibraryUtils	java.util.List	()Ljava/util/List;	0
<com.coveros.training.library.LibraryUtils: java.util.List listAllBorrowers()>	listAllBorrowers		com.coveros.training.library.LibraryUtils	java.util.List	()Ljava/util/List;	0
<com.coveros.training.library.LibraryUtils: java.util.List listAvailableBooks()>	listAvailableBooks		com.coveros.training.library.LibraryUtils	java.util.List	()Ljava/util/List;	0
<com.coveros.training.library.LibraryUtils: void <clinit>()>	<clinit>		com.coveros.training.library.LibraryUtils	void	()V	0
<com.coveros.training.mathematics.AckermannIterative$1: void <clinit>()>	<clinit>		com.coveros.training.mathematics.AckermannIterative$1	void	()V	0
<com.coveros.training.persistence.DbServlet: void <init>()>	<init>		com.coveros.training.persistence.DbServlet	void	()V	0
<com.coveros.training.persistence.DbServlet: void <clinit>()>	<clinit>		com.coveros.training.persistence.DbServlet	void	()V	0
<com.coveros.training.library.LibraryBookListSearchServlet: void <init>()>	<init>		com.coveros.training.library.LibraryBookListSearchServlet	void	()V	0
<com.coveros.training.library.LibraryBookListSearchServlet: java.lang.String listAllBooks()>	listAllBooks		com.coveros.training.library.LibraryBookListSearchServlet	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.library.LibraryBookListSearchServlet: void <clinit>()>	<clinit>		com.coveros.training.library.LibraryBookListSearchServlet	void	()V	0
<com.coveros.training.mathematics.Fibonacci: void <init>()>	<init>		com.coveros.training.mathematics.Fibonacci	void	()V	0
<com.coveros.training.library.domainobjects.LibraryActionResults: com.coveros.training.library.domainobjects.LibraryActionResults[] values()>	values		com.coveros.training.library.domainobjects.LibraryActionResults	com.coveros.training.library.domainobjects.LibraryActionResults[]	()[Lcom/coveros/training/library/domainobjects/LibraryActionResults;	0
<com.coveros.training.library.domainobjects.LibraryActionResults: void <clinit>()>	<clinit>		com.coveros.training.library.domainobjects.LibraryActionResults	void	()V	0
<com.coveros.training.expenses.AlcoholResult: com.coveros.training.expenses.AlcoholResult returnEmpty()>	returnEmpty		com.coveros.training.expenses.AlcoholResult	com.coveros.training.expenses.AlcoholResult	()Lcom/coveros/training/expenses/AlcoholResult;	0
<com.coveros.training.library.domainobjects.Borrower: int hashCode()>	hashCode		com.coveros.training.library.domainobjects.Borrower	int	()I	0
<com.coveros.training.library.domainobjects.Borrower: java.lang.String toOutputString()>	toOutputString		com.coveros.training.library.domainobjects.Borrower	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.library.domainobjects.Borrower: java.lang.String toString()>	toString		com.coveros.training.library.domainobjects.Borrower	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.library.domainobjects.Borrower: com.coveros.training.library.domainobjects.Borrower createEmpty()>	createEmpty		com.coveros.training.library.domainobjects.Borrower	com.coveros.training.library.domainobjects.Borrower	()Lcom/coveros/training/library/domainobjects/Borrower;	0
<com.coveros.training.library.domainobjects.Borrower: boolean isEmpty()>	isEmpty		com.coveros.training.library.domainobjects.Borrower	boolean	()Z	0
<com.coveros.training.mathematics.Calculator$Foo: void <init>()>	<init>		com.coveros.training.mathematics.Calculator$Foo	void	()V	0
<com.coveros.training.mathematics.AckermannIterative: java.math.BigInteger number1()>	number1		com.coveros.training.mathematics.AckermannIterative	java.math.BigInteger	()Ljava/math/BigInteger;	0
<com.coveros.training.mathematics.AckermannIterative: java.math.BigInteger number2()>	number2		com.coveros.training.mathematics.AckermannIterative	java.math.BigInteger	()Ljava/math/BigInteger;	0
<com.coveros.training.mathematics.AckermannIterative: java.util.Deque stack()>	stack		com.coveros.training.mathematics.AckermannIterative	java.util.Deque	()Ljava/util/Deque;	0
<com.coveros.training.mathematics.AckermannIterative: boolean flag()>	flag		com.coveros.training.mathematics.AckermannIterative	boolean	()Z	0
<com.coveros.training.helpers.StringUtils: void <init>()>	<init>		com.coveros.training.helpers.StringUtils	void	()V	0
<com.coveros.training.authentication.domainobjects.RegistrationResult: int hashCode()>	hashCode		com.coveros.training.authentication.domainobjects.RegistrationResult	int	()I	0
<com.coveros.training.authentication.domainobjects.RegistrationResult: java.lang.String toString()>	toString		com.coveros.training.authentication.domainobjects.RegistrationResult	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.authentication.domainobjects.RegistrationResult: java.lang.String toPrettyString()>	toPrettyString		com.coveros.training.authentication.domainobjects.RegistrationResult	java.lang.String	()Ljava/lang/String;	0
<com.coveros.training.authentication.domainobjects.RegistrationResult: com.coveros.training.authentication.domainobjects.RegistrationResult createEmpty()>	createEmpty		com.coveros.training.authentication.domainobjects.RegistrationResult	com.coveros.training.authentication.domainobjects.RegistrationResult	()Lcom/coveros/training/authentication/domainobjects/RegistrationResult;	0
<com.coveros.training.authentication.domainobjects.RegistrationResult: boolean isEmpty()>	isEmpty		com.coveros.training.authentication.domainobjects.RegistrationResult	boolean	()Z	0
<com.coveros.training.persistence.ParameterObject: int hashCode()>	hashCode		com.coveros.training.persistence.ParameterObject	int	()I	0
<com.coveros.training.persistence.ParameterObject: com.coveros.training.persistence.ParameterObject createEmpty()>	createEmpty		com.coveros.training.persistence.ParameterObject	com.coveros.training.persistence.ParameterObject	()Lcom/coveros/training/persistence/ParameterObject;	0
<com.coveros.training.persistence.ParameterObject: boolean isEmpty()>	isEmpty		com.coveros.training.persistence.ParameterObject	boolean	()Z	0
<com.coveros.training.persistence.ParameterObject: java.lang.String toString()>	toString		com.coveros.training.persistence.ParameterObject	java.lang.String	()Ljava/lang/String;	0
